platform,date,content_type,views,likes,comments,shares,watch_time,followers_gained,engagement_rate,virality_score,watch_time_per_view,follower_conversion_rate,day_of_week,month,week,performance_category
Instagram,2025-01-26,Post,32982,1882,257,172,36106,222,0.07006852222424352,0.16357407070523317,1.0947183312109636,0.006730944151355285,Sunday,1,4,Low
Instagram,2025-03-11,Post,25572,3412,215,248,29978,237,0.15153292663851087,0.34056780854059127,1.1722978257469108,0.009267949319568277,Tuesday,3,11,High
Instagram,2025-03-23,Post,37741,2538,127,112,35187,417,0.07358045626771946,0.15942873797726612,0.9323282371956227,0.011048991812617578,Sunday,3,12,Low
Instagram,2025-04-13,Reel,39371,5769,684,528,37990,603,0.17731325086992963,0.41223235376292194,0.9649234207919535,0.015315841609306342,Sunday,4,15,High
YouTube,2025-01-22,Short,89584,10721,782,356,32733,1063,0.13237854974102517,0.2854081085908198,0.36538890873370244,0.011865958206822647,Wednesday,1,4,Medium
Instagram,2025-03-21,Post,10018,835,67,79,4767,102,0.09792373727290876,0.22619285286484328,0.4758434817328808,0.010181672988620483,Friday,3,12,Low
YouTube,2025-04-10,Short,81518,7756,1121,526,43954,1227,0.11534875732966952,0.2638067666036949,0.539193797688854,0.015051890380038764,Thursday,4,15,Medium
YouTube,2025-01-28,Video,41395,3563,254,162,47208,599,0.09612272013528204,0.21012199541007368,1.1404275878729315,0.014470346660224665,Tuesday,1,5,Low
Instagram,2025-04-04,Story,24776,1398,100,139,12112,368,0.06607200516628996,0.1530109783661608,0.488860187278011,0.014853083629318696,Friday,4,14,Low
YouTube,2025-06-10,Video,26776,3958,639,321,11458,148,0.18367194502539588,0.4271735882880191,0.42792052584403945,0.005527337914550344,Tuesday,6,24,High
Instagram,2025-01-07,Story,28983,1547,260,138,10276,291,0.06710830486837112,0.15747162129524203,0.3545526688058517,0.010040368491874547,Tuesday,1,2,Low
Instagram,2025-02-04,Story,47066,5994,663,337,21531,696,0.148599838524625,0.3327667530701568,0.4574639867420218,0.014787744868907491,Tuesday,2,6,High
YouTube,2025-01-13,Short,70235,8985,1498,525,41453,442,0.1567309745853207,0.35721506371467215,0.5902043140884174,0.006293158681569018,Monday,1,3,High
Instagram,2025-06-07,Reel,63034,9295,579,645,19236,377,0.16687819272138846,0.37363962306057047,0.30516863914712694,0.005980899197258622,Saturday,6,23,High
Instagram,2025-03-07,Reel,74158,3757,317,265,88240,1235,0.058510207934410315,0.13201542652175086,1.1898918525310822,0.016653631435583485,Friday,3,10,Low
YouTube,2025-01-04,Video,9757,749,41,74,7618,127,0.08855180895767141,0.2040586245772266,0.7807727785179871,0.013016295992620682,Saturday,1,1,Low
YouTube,2025-03-19,Video,26523,2787,512,136,13313,411,0.12951023639859743,0.29370734833917733,0.5019417109678392,0.01549598461712476,Wednesday,3,12,Medium
YouTube,2025-04-15,Video,19428,2839,212,278,16091,180,0.17135062795964587,0.3965410747374923,0.8282375952233889,0.00926497838171711,Tuesday,4,16,High
YouTube,2025-01-14,Short,38672,2139,274,163,41830,666,0.06661150186181217,0.15295304095986761,1.0816611501861813,0.0172217625155151,Tuesday,1,3,Low
Instagram,2025-01-03,Story,14390,972,146,29,8122,262,0.07970813064628214,0.17560806115357888,0.5644197359277275,0.01820708825573315,Friday,1,1,Low
YouTube,2025-01-20,Video,17715,923,115,50,14414,265,0.06141687835167937,0.13779283093423653,0.813660739486311,0.014959074230877787,Monday,1,4,Low
Instagram,2025-01-28,Post,34057,4349,642,123,32437,189,0.15016002583903457,0.33000557888246174,0.952432686378718,0.005549519922482897,Tuesday,1,5,High
Instagram,2025-01-25,Reel,24971,2306,364,72,9074,435,0.10980737655680589,0.24284169636778663,0.3633815225661768,0.017420207440631132,Saturday,1,4,Medium
Instagram,2025-04-04,Reel,76209,6997,1095,155,52096,1132,0.10821556509073732,0.2369011534070779,0.6835938012570694,0.014853888648322376,Friday,4,14,Medium
Instagram,2025-04-07,Reel,22142,2093,167,76,26334,442,0.10550085809773281,0.22884111643031343,1.189323457682233,0.01996206304760184,Monday,4,15,Medium
Instagram,2025-05-03,Post,44671,2936,512,237,23832,507,0.0824919970450628,0.1923619350361532,0.5335004812965907,0.01134964518367621,Saturday,5,18,Low
YouTube,2025-05-19,Video,20693,1336,192,73,11456,357,0.07736915865268448,0.17460010631614556,0.5536171652249553,0.017252210892572367,Monday,5,21,Low
YouTube,2025-02-01,Video,5805,857,66,35,3723,54,0.16503014642549527,0.3595176571920758,0.641343669250646,0.009302325581395349,Saturday,2,5,High
YouTube,2025-06-24,Short,52986,5279,402,207,50874,454,0.1111236930509946,0.2415543728532065,0.9601404144490998,0.008568301060657531,Tuesday,6,26,Medium
YouTube,2025-04-10,Video,21376,2848,563,242,20333,299,0.1708925898203593,0.4020864520958084,0.9512069610778443,0.013987649700598802,Thursday,4,15,High
Instagram,2025-05-22,Post,43486,2208,418,145,31422,490,0.063721657544957,0.14705882352941177,0.7225773812261418,0.011267994297015131,Thursday,5,21,Low
YouTube,2025-05-09,Short,11354,1329,121,73,12259,222,0.13413774881099172,0.29822089131583585,1.0797075920380483,0.019552580588338912,Friday,5,19,Medium
Instagram,2025-03-19,Reel,68765,9749,1526,260,54064,1244,0.16774521922489638,0.36902494001308805,0.7862139169635716,0.018090598414891298,Wednesday,3,12,High
YouTube,2025-03-25,Short,43089,5750,392,362,29885,662,0.1509433962264151,0.3361878901807886,0.6935644828146394,0.015363549861913713,Tuesday,3,13,High
Instagram,2025-01-17,Post,48566,4565,477,156,28573,856,0.10702960919161553,0.2335172754601985,0.5883334019684553,0.017625499320512293,Friday,1,3,Medium
Instagram,2025-04-04,Reel,5278,399,47,35,3211,66,0.09113300492610837,0.21106479727169383,0.6083743842364532,0.012504736642667677,Friday,4,14,Low
Instagram,2025-03-28,Post,2798,214,42,9,2659,44,0.09471050750536097,0.21408148677626876,0.9503216583273767,0.015725518227305217,Friday,3,13,Low
YouTube,2025-02-08,Video,9998,1414,153,42,8813,62,0.16093218643728746,0.34976995399079813,0.8814762952590518,0.00620124024804961,Saturday,2,6,High
YouTube,2025-01-04,Video,17525,2113,223,93,17549,186,0.13860199714693294,0.305848787446505,1.0013694721825963,0.010613409415121256,Saturday,1,1,Medium
Instagram,2025-02-28,Story,18077,1737,133,56,10990,214,0.10654422747137246,0.2297394479172429,0.6079548597665542,0.011838247496819162,Friday,2,9,Medium
Instagram,2025-02-17,Story,11924,1425,136,93,10697,164,0.13871184166387118,0.31222744045622275,0.8970982891647098,0.013753773901375378,Monday,2,8,Medium
YouTube,2025-05-10,Short,40629,5459,716,472,39748,636,0.16360235299908932,0.3796795392453666,0.9783159811956976,0.015653843313889092,Saturday,5,19,High
Instagram,2025-01-28,Reel,107949,8826,1110,849,127174,1271,0.09990829002584554,0.2336936886863241,1.1780933589009626,0.011774078500032422,Tuesday,1,5,Low
YouTube,2025-04-17,Video,29129,3741,618,300,28771,551,0.15994369871948916,0.3720004119605891,0.9877098424250746,0.01891585704967558,Thursday,4,16,High
Instagram,2025-01-07,Reel,13296,1595,310,42,12512,97,0.14643501805054152,0.325661853188929,0.941034897713598,0.007295427196149218,Tuesday,1,2,High
YouTube,2025-04-25,Video,46290,3806,491,183,21311,240,0.09678116223806438,0.21602937999567942,0.4603802117087924,0.005184705119896306,Friday,4,17,Low
Instagram,2025-06-16,Reel,92074,11718,747,809,68448,614,0.14416664856528444,0.3228055694332819,0.7434020461802463,0.006668549210417708,Monday,6,25,High
YouTube,2025-06-17,Video,46098,4483,638,339,32271,670,0.11844331641285956,0.2727884073061738,0.7000520629962255,0.014534253112933316,Tuesday,6,25,Medium
YouTube,2025-03-13,Short,57975,6630,1028,167,20219,1118,0.13497197067701597,0.2963173781802501,0.34875377317809403,0.019284174213022854,Thursday,3,11,Medium
YouTube,2025-03-22,Short,63033,4839,464,118,55462,490,0.08600257008233782,0.1849824695001031,0.8798883124712452,0.00777370583662526,Saturday,3,12,Low
Instagram,2025-05-07,Reel,7928,1087,87,64,4425,61,0.15615539858728558,0.34750252270433907,0.5581483350151363,0.007694248234106963,Wednesday,5,19,High
YouTube,2025-02-05,Video,24446,2651,175,174,18620,415,0.12271946330688047,0.27395074858872615,0.7616788022580381,0.016976192424118464,Wednesday,2,6,Medium
Instagram,2025-02-21,Post,21773,1727,318,130,23559,111,0.09989436457998438,0.2323060671473844,1.0820282000642998,0.005098057226840582,Friday,2,8,Low
YouTube,2025-03-02,Video,11788,1013,161,46,5074,153,0.10349507974211063,0.2323549372242959,0.4304377332880896,0.012979300984051577,Sunday,3,9,Medium
Instagram,2025-05-31,Story,35423,4432,444,304,35012,482,0.14623267368658782,0.3307455607938345,0.9883973689410834,0.01360697851678288,Saturday,5,22,High
Instagram,2025-04-29,Story,35689,2254,267,164,18551,603,0.07523326515172743,0.17173358737986494,0.51979601557903,0.016895962341337667,Tuesday,4,18,Low
Instagram,2025-05-26,Post,29204,2231,308,77,22355,239,0.0895767703054376,0.1976099164498014,0.7654773318723462,0.008183810436926448,Monday,5,22,Low
YouTube,2025-06-21,Short,109439,16123,1337,351,104176,1641,0.1627481976260748,0.3473350450936138,0.9519092827968092,0.014994654556419558,Saturday,6,25,High
Instagram,2025-03-01,Reel,63908,8671,631,355,19743,794,0.15110784252362772,0.32875383363585153,0.3089284596607623,0.012424109657632847,Saturday,3,9,High
Instagram,2025-05-28,Post,8366,1111,222,84,4780,75,0.16937604590007171,0.3954099928281138,0.5713602677504184,0.008964857757590245,Wednesday,5,22,High
Instagram,2025-05-31,Story,17483,2257,142,152,9650,106,0.14591317279643082,0.3260310015443574,0.5519647657724647,0.006063032660298576,Saturday,5,22,High
YouTube,2025-04-05,Short,51952,3557,231,89,43914,627,0.07462657838004312,0.15883892824145365,0.8452802587003387,0.012068832768709578,Saturday,4,14,Low
YouTube,2025-04-22,Short,64248,4364,299,296,38635,1210,0.07718528203212552,0.17284584734155148,0.6013416760054787,0.01883327107458598,Tuesday,4,17,Low
YouTube,2025-02-01,Short,68432,5569,613,444,59338,535,0.0968260462941314,0.2220744680851064,0.8671089548749124,0.007817979892447978,Saturday,2,5,Low
YouTube,2025-06-29,Video,11260,1273,200,106,8708,163,0.14023090586145648,0.32646536412078153,0.7733570159857904,0.014476021314387211,Sunday,6,26,High
Instagram,2025-03-23,Story,38131,2959,372,66,23800,207,0.08908761899766594,0.1931237051218169,0.6241640659830584,0.0054286538511971886,Sunday,3,12,Low
YouTube,2025-06-07,Short,94142,10535,1829,921,105401,685,0.14111661107688386,0.3310106010069894,1.119595929553228,0.007276242272312039,Saturday,6,23,High
YouTube,2025-04-09,Video,5895,629,57,32,6383,98,0.12179813401187448,0.2695504664970314,1.0827820186598813,0.01662425784563189,Wednesday,4,15,Medium
Instagram,2025-02-13,Story,36920,2578,499,155,15228,706,0.0875406283856988,0.20119176598049837,0.4124593716143012,0.01912242686890574,Thursday,2,7,Low
YouTube,2025-05-21,Short,4685,312,24,14,5412,69,0.07470651013874066,0.16350053361792957,1.1551760939167557,0.014727854855923159,Wednesday,5,21,Low
YouTube,2025-06-17,Video,18162,913,161,30,8116,112,0.06078625702015197,0.13539257790992182,0.44686708512278384,0.0061667217266820834,Tuesday,6,25,Low
YouTube,2025-04-07,Short,21186,1677,253,40,16321,416,0.09298593410742943,0.2035778344189559,0.7703672236382517,0.01963560842065515,Monday,4,15,Low
YouTube,2025-05-08,Video,43610,6238,746,145,19125,389,0.16347168080715432,0.3540243063517542,0.4385462049988535,0.008919972483375373,Thursday,5,19,High
YouTube,2025-02-21,Short,54517,5926,625,575,57321,977,0.13071152117688062,0.3045288625566337,1.051433497808023,0.017921015463066566,Friday,2,8,Medium
YouTube,2025-02-18,Video,19281,2340,322,149,22322,353,0.1457911934028318,0.331466210258804,1.1577200352678803,0.018308179036357036,Tuesday,2,8,High
YouTube,2025-05-11,Video,41772,2139,109,125,15105,816,0.05680838839413962,0.12520348558843244,0.36160586038494685,0.019534616489514506,Sunday,5,19,Low
YouTube,2025-04-23,Video,41742,4446,653,316,20051,260,0.12972545637487423,0.2978055675338987,0.4803555172248575,0.006228738440898855,Wednesday,4,17,Medium
Instagram,2025-06-15,Story,32155,4550,617,123,24567,415,0.16451562742963768,0.35969522624786193,0.7640180376302286,0.012906235422173845,Sunday,6,24,High
Instagram,2025-01-05,Post,43769,5399,1027,228,49632,352,0.1520254061093468,0.34314240672622176,1.1339532545865796,0.008042221663734606,Sunday,1,1,High
Instagram,2025-01-05,Reel,23464,3503,462,75,19901,405,0.17217865666553017,0.373636208660075,0.8481503579952268,0.017260484145925674,Sunday,1,1,High
Instagram,2025-06-13,Story,48904,6522,1167,140,50124,967,0.1600891542614101,0.3526296417470964,1.0249468346147554,0.019773433665957796,Friday,6,24,High
YouTube,2025-01-07,Short,40276,2193,151,56,18285,235,0.05958883702453074,0.12709802363690537,0.45399245208064354,0.005834740291985301,Tuesday,1,2,Low
YouTube,2025-05-12,Short,140524,9879,1314,805,84616,2769,0.08538043323560389,0.19729725883123167,0.602146252597421,0.019704819105633202,Monday,5,20,Low
Instagram,2025-02-04,Post,38300,4185,829,340,27213,758,0.1397911227154047,0.3278590078328982,0.7105221932114882,0.0197911227154047,Tuesday,2,6,Medium
YouTube,2025-06-04,Short,38867,4927,534,450,22476,625,0.1520827437157486,0.3526384850901793,0.5782797746159981,0.01608047958422312,Wednesday,6,23,High
YouTube,2025-06-03,Video,19659,2338,288,83,20726,312,0.13779948115367008,0.3029146955592858,1.0542753954931583,0.015870593621242178,Tuesday,6,23,Medium
YouTube,2025-01-23,Video,26945,2714,498,196,12998,485,0.12647986639450734,0.293264056411208,0.48239005381332345,0.017999628873631473,Thursday,1,4,Medium
Instagram,2025-02-04,Story,33616,4385,318,198,18419,496,0.14579366968110424,0.318717277486911,0.5479236078058067,0.014754878629224179,Tuesday,2,6,High
Instagram,2025-05-03,Post,20439,2331,204,203,21016,300,0.13395958706394637,0.30769607123636183,1.0282303439502911,0.014677821811243212,Saturday,5,18,Medium
Instagram,2025-03-22,Story,38578,5601,982,252,44709,317,0.17717351858572244,0.3993986209756856,1.1589247757789414,0.008217118564985224,Saturday,3,12,High
Instagram,2025-03-18,Post,12212,1808,98,108,6825,74,0.1649197510645267,0.3643956763838847,0.5588765149033738,0.006059613494923026,Tuesday,3,12,High
YouTube,2025-06-15,Video,41776,4103,815,169,45916,684,0.12176847950976637,0.27518192263500574,1.099099961700498,0.016373037150517043,Sunday,6,24,Medium
YouTube,2025-06-04,Video,43589,6326,646,421,44552,678,0.16960701094312786,0.38300947486751247,1.0220927298171556,0.0155543829865333,Wednesday,6,23,High
YouTube,2025-03-09,Video,2700,271,15,11,1764,47,0.11,0.23777777777777778,0.6533333333333333,0.017407407407407406,Sunday,3,10,Medium
YouTube,2025-03-03,Video,3379,425,35,9,1633,18,0.13879846108316068,0.2959455460195324,0.48327907664989644,0.005327019828351583,Monday,3,10,Medium
Instagram,2025-02-01,Reel,37747,2353,188,140,34673,672,0.07102551196121545,0.15815826423291918,0.9185630646144064,0.017802739290539646,Saturday,2,5,Low
Instagram,2025-01-05,Reel,42423,3268,544,167,37567,735,0.09379346109421775,0.21221978643660278,0.88553379063244,0.017325507389859274,Sunday,1,1,Low
YouTube,2025-01-10,Video,39954,3439,350,111,14310,311,0.09761225409220604,0.2123191670420984,0.35816188616909445,0.007783951544275918,Friday,1,2,Low
Instagram,2025-01-10,Story,12215,1003,138,86,14554,64,0.10045026606631191,0.23331968890708146,1.1914858780188293,0.0052394596807204255,Friday,1,2,Low
Instagram,2025-01-21,Post,42605,2133,252,102,42797,313,0.05837343034855064,0.12984391503344678,1.0045065133200328,0.007346555568595235,Tuesday,1,4,Low
YouTube,2025-05-18,Video,22372,1338,226,133,13108,253,0.0758537457536206,0.17964419810477383,0.5859109601287323,0.011308778830681208,Sunday,5,20,Low
YouTube,2025-03-08,Short,101599,9712,1131,235,34450,625,0.10903650626482544,0.23614405653598952,0.33907814053287927,0.006151635350741641,Saturday,3,10,Medium
Instagram,2025-01-05,Post,35064,4929,753,124,14849,235,0.1655829340634269,0.36325005703855806,0.4234827743554643,0.006702030572667123,Sunday,1,1,High
YouTube,2025-02-15,Video,21210,1086,202,72,18791,324,0.06412069778406412,0.14794908062234796,0.8859500235737859,0.015275813295615276,Saturday,2,7,Low
YouTube,2025-04-17,Short,92591,11477,2247,415,92958,1680,0.1527038265058159,0.3431219016967092,1.0039636681750925,0.018144312082167813,Thursday,4,16,High
Instagram,2025-05-21,Post,34975,4350,650,303,24053,515,0.15162258756254468,0.34781987133666903,0.6877197998570408,0.014724803431022159,Wednesday,5,21,High
Instagram,2025-04-25,Story,33706,2272,161,85,38655,654,0.07470480033228505,0.16175161692280307,1.146828457841334,0.019403073636741233,Friday,4,17,Low
YouTube,2025-06-13,Video,39682,3421,232,149,27398,337,0.09581170303916134,0.20873443878836753,0.6904389899702637,0.008492515498210776,Friday,6,24,Low
YouTube,2025-02-01,Video,17969,1839,265,57,17495,118,0.12026267460626634,0.26478935945239024,0.9736212365740998,0.00656686515665869,Saturday,2,5,Medium
Instagram,2025-02-06,Reel,41847,3986,429,332,29539,573,0.11343704447152723,0.26092670920257127,0.7058809472602576,0.013692737830668865,Thursday,2,6,Medium
YouTube,2025-05-15,Short,48256,5866,447,538,43645,446,0.1419719827586207,0.3266536803713528,0.9044471153846154,0.00924237400530504,Thursday,5,20,High
Instagram,2025-02-06,Story,36962,2570,358,228,26004,200,0.08538498998971918,0.19896109517883231,0.7035333585844922,0.005410962610248363,Thursday,2,6,Low
Instagram,2025-04-06,Post,13217,1648,215,87,6234,157,0.14753726261632746,0.33108874933797383,0.4716652795641976,0.011878641143981235,Sunday,4,14,High
YouTube,2025-04-22,Video,11528,1419,233,34,9600,140,0.1462526023594726,0.32156488549618323,0.8327550312283136,0.012144344205412909,Tuesday,4,17,High
Instagram,2025-06-25,Story,16721,2026,165,168,6271,296,0.14108007894264696,0.32216972669098737,0.37503737814724,0.017702290532862867,Wednesday,6,26,High
Instagram,2025-01-19,Post,18254,2423,132,237,13460,94,0.15295277747343047,0.35208721376136737,0.7373726306562945,0.005149556261641284,Sunday,1,3,High
Instagram,2025-06-20,Post,11712,1489,255,71,3885,139,0.15496926229508196,0.34989754098360654,0.3317110655737705,0.011868169398907103,Friday,6,25,High
YouTube,2025-05-02,Short,62946,4319,724,354,50265,883,0.08574015823086455,0.19985384297651956,0.798541607091793,0.01402789692752518,Friday,5,18,Low
Instagram,2025-03-15,Reel,16437,1613,168,119,15556,226,0.1155928697450873,0.26312587455131714,0.946401411449778,0.013749467664415647,Saturday,3,11,Medium
YouTube,2025-05-02,Video,7182,647,46,38,4659,87,0.10178223336118072,0.22584238373712057,0.6487050960735171,0.01211361737677527,Friday,5,18,Medium
YouTube,2025-02-16,Video,10984,1435,247,55,4141,198,0.15813911143481427,0.35378732702112164,0.3770029133284778,0.018026219956300073,Sunday,2,7,High
Instagram,2025-04-24,Reel,96441,9216,1066,224,92757,1329,0.10893707033315705,0.2358955216142512,0.9618004790493669,0.013780446075839115,Thursday,4,17,Medium
YouTube,2025-02-19,Video,34993,1898,367,118,20441,511,0.0680993341525448,0.1568027891292544,0.5841454005086731,0.014602920584116823,Wednesday,2,8,Low
YouTube,2025-04-04,Video,13138,1756,115,45,8777,248,0.14583650479525043,0.3107017810930126,0.6680621099101842,0.018876541330491704,Friday,4,14,High
YouTube,2025-03-25,Short,42640,2181,236,134,21024,432,0.059826454033771105,0.1346153846153846,0.4930581613508443,0.010131332082551596,Tuesday,3,13,Low
Instagram,2025-02-04,Reel,105456,7881,661,316,67219,763,0.08399711728114095,0.18325178273403125,0.6374127598240025,0.007235245031103019,Tuesday,2,6,Low
Instagram,2025-04-14,Story,15004,1309,125,70,10744,258,0.10023993601706212,0.22280725139962676,0.7160757131431619,0.01719541455611837,Monday,4,16,Low
YouTube,2025-06-26,Video,36796,3690,302,182,13148,508,0.1134362430698989,0.2499184693988477,0.3573214479834765,0.013805848461789325,Thursday,6,26,Medium
Instagram,2025-04-24,Story,40223,5448,439,210,20305,614,0.15157994182432935,0.3297367177982746,0.5048106804564553,0.015264898192576386,Thursday,4,17,High
Instagram,2025-02-22,Story,22060,1335,81,114,19244,147,0.06935630099728014,0.15788757932910244,0.872348141432457,0.006663644605621033,Saturday,2,8,Low
Instagram,2025-05-19,Post,47608,6240,370,483,28514,689,0.14898756511510672,0.3361829944547135,0.5989329524449672,0.014472357586960175,Monday,5,21,High
YouTube,2025-06-29,Short,45016,5015,873,107,24890,276,0.13317487115692198,0.29287364492624846,0.5529145192820331,0.006131153367691488,Sunday,6,26,Medium
YouTube,2025-06-19,Video,14165,1164,170,97,7486,169,0.10102364984115779,0.23459230497705613,0.5284857042004941,0.011930815390045887,Thursday,6,25,Low
YouTube,2025-02-02,Video,3165,365,22,11,1993,20,0.12575039494470774,0.2688783570300158,0.6296998420221169,0.00631911532385466,Sunday,2,5,Medium
Instagram,2025-06-24,Reel,43814,3457,443,162,44490,313,0.09271009266444516,0.20662345369060117,1.0154288583557767,0.007143835303784179,Tuesday,6,26,Low
Instagram,2025-03-30,Post,9955,1143,164,74,8658,124,0.13872425916624812,0.3162230035158212,0.869713711702662,0.01245605223505776,Sunday,3,13,Medium
YouTube,2025-04-11,Short,88920,12078,1230,1039,101467,792,0.1613472784525416,0.3715811965811966,1.1411043634727844,0.008906882591093117,Friday,4,15,High
Instagram,2025-03-25,Reel,25925,2386,169,174,13506,485,0.10526518804243008,0.23718418514946962,0.5209643201542912,0.01870781099324976,Tuesday,3,13,Medium
YouTube,2025-06-26,Short,18683,1202,226,112,19574,141,0.08242787560884227,0.19493657335545683,1.047690413745116,0.007546967831718675,Thursday,6,26,Low
YouTube,2025-04-03,Video,3140,462,49,16,2906,49,0.1678343949044586,0.3665605095541401,0.9254777070063694,0.015605095541401274,Thursday,4,14,High
YouTube,2025-02-28,Short,15344,1590,133,122,9016,175,0.12024244004171011,0.27300573514077164,0.5875912408759124,0.011405109489051095,Friday,2,9,Medium
YouTube,2025-05-31,Video,38001,2304,251,145,35673,326,0.07105076182205732,0.1601536801663114,0.938738454251204,0.008578721612589142,Saturday,5,22,Low
Instagram,2025-01-20,Reel,33063,2072,111,102,24094,281,0.069110486041799,0.15083325772011008,0.7287300003024529,0.008498926292229985,Monday,1,4,Low
Instagram,2025-03-21,Story,42612,3204,574,95,40214,375,0.0908898901717826,0.201938421102037,0.9437247723645922,0.008800337932976627,Friday,3,12,Low
YouTube,2025-02-21,Short,116769,14106,1479,1156,124143,1960,0.1433685310313525,0.329102758437599,1.0631503224314673,0.0167852769142495,Friday,2,8,High
Instagram,2025-02-23,Post,29348,2049,406,48,28331,575,0.08528690200354368,0.1893144336922448,0.9653468720185362,0.019592476489028215,Sunday,2,8,Low
YouTube,2025-02-18,Short,24230,1355,100,117,17955,450,0.06487825010317788,0.14836978951712754,0.7410235245563351,0.018572018159306643,Tuesday,2,8,Low
Instagram,2025-06-17,Reel,36651,4800,396,376,25656,608,0.1520285940356334,0.345638591034351,0.7000081853155439,0.01658890616899948,Tuesday,6,25,High
YouTube,2025-06-11,Video,28558,3998,615,206,23237,383,0.16874430982561803,0.3806639120386582,0.8136774283913439,0.013411303312556902,Wednesday,6,24,High
YouTube,2025-04-30,Video,25966,1455,218,121,24082,517,0.06909034891781561,0.1605561118385581,0.9274435800662405,0.019910652391589,Wednesday,4,18,Low
Instagram,2025-06-12,Reel,30720,2014,198,135,15565,292,0.07639973958333333,0.17242838541666666,0.5066731770833334,0.009505208333333333,Thursday,6,24,Low
Instagram,2025-06-29,Reel,70486,9266,657,913,54363,709,0.15373265613029538,0.3556450926425106,0.7712595409017393,0.010058735067956757,Sunday,6,26,High
YouTube,2025-04-24,Video,43910,3569,379,239,32480,788,0.09535413345479389,0.21566841266226372,0.7396948303347757,0.017945798223639262,Thursday,4,17,Low
Instagram,2025-01-30,Reel,31981,3590,419,282,23524,356,0.1341734154654326,0.3079015665551421,0.7355617397829961,0.01113160939307714,Thursday,1,5,Medium
YouTube,2025-05-10,Short,51703,6883,1016,589,22794,427,0.16416842349573527,0.38216351082142236,0.440864166489372,0.00825870839216293,Saturday,5,19,High
Instagram,2025-05-13,Story,37668,5530,653,526,23639,258,0.17810873951364553,0.4154454709567803,0.6275618562174791,0.00684931506849315,Tuesday,5,20,High
Instagram,2025-03-02,Post,20345,2329,213,60,10134,114,0.1278938314082084,0.27510444826738756,0.4981076431555665,0.005603342344556402,Sunday,3,9,Medium
YouTube,2025-02-10,Video,6422,868,63,68,7495,59,0.15555901588290252,0.35269386483961385,1.1670819059483026,0.009187169106197447,Monday,2,7,High
YouTube,2025-05-21,Short,21131,1209,124,52,10175,201,0.06554351426813686,0.14433770290095121,0.4815200416449766,0.009512091240357769,Wednesday,5,21,Low
YouTube,2025-03-03,Short,23804,2758,187,194,28450,460,0.13186859351369518,0.2960426819022013,1.195177281129222,0.01932448328012099,Monday,3,10,Medium
YouTube,2025-03-20,Video,12148,845,92,18,4916,170,0.07861376358248272,0.16924596641422457,0.4046756667764241,0.01399407309845242,Thursday,3,12,Low
YouTube,2025-03-18,Video,12870,1589,251,64,6053,202,0.14794094794094795,0.3303030303030303,0.47031857031857033,0.015695415695415695,Tuesday,3,12,High
Instagram,2025-05-22,Story,15629,946,139,37,10616,244,0.07178962185680465,0.15957514876191695,0.6792501119713353,0.01561200332714825,Thursday,5,21,Low
Instagram,2025-06-19,Story,44678,3907,538,209,47392,287,0.10416759926585792,0.2344106719190653,1.0607457809212588,0.006423743229329872,Thursday,6,25,Medium
YouTube,2025-04-18,Short,26679,2972,177,78,17197,183,0.12095655759211364,0.2573184901982833,0.6445893774129465,0.006859327561003036,Friday,4,16,Medium
YouTube,2025-04-06,Short,66045,4758,341,373,56066,991,0.08285260049965933,0.18781134075251724,0.8489060489060489,0.015004920887273829,Sunday,4,14,Low
Instagram,2025-04-30,Story,34586,4861,884,168,17812,221,0.17096513039958364,0.3820621060544729,0.515006071820968,0.006389868733013358,Wednesday,4,18,High
YouTube,2025-04-26,Short,24334,1540,131,73,22239,346,0.07166926933508672,0.15772170625462317,0.9139064683159366,0.014218788526341744,Saturday,4,17,Low
Instagram,2025-02-14,Post,38600,2912,308,105,45642,250,0.086139896373057,0.18841968911917098,1.1824352331606218,0.006476683937823834,Friday,2,7,Low
YouTube,2025-05-16,Short,41996,5171,469,291,44435,242,0.14122773597485475,0.3144108962758358,1.0580769597104487,0.005762453567006382,Friday,5,20,High
Instagram,2025-04-11,Post,39108,3139,170,222,25009,311,0.09028843203436637,0.20195356448808427,0.63948552725785,0.007952337117725274,Friday,4,15,Low
Instagram,2025-01-22,Reel,62782,8190,706,551,46308,1200,0.15047306552833614,0.3385205950750215,0.7375999490299767,0.019113758720652418,Wednesday,1,4,High
Instagram,2025-01-23,Post,23658,2596,145,244,25658,211,0.12617296474765408,0.2894158424211683,1.084537999830924,0.008918758982162482,Thursday,1,4,Medium
Instagram,2025-06-22,Post,38526,4476,433,135,43783,618,0.13092457041997613,0.28360068525151844,1.1364533042620568,0.016041115091107304,Sunday,6,25,Medium
Instagram,2025-04-22,Story,22906,3066,224,191,15947,418,0.15196891644110713,0.3387322099013359,0.6961931371693006,0.01824849384440758,Tuesday,4,17,High
YouTube,2025-05-01,Short,18874,1272,156,74,9375,130,0.07958037511921161,0.17918830136695985,0.49671505775140407,0.006887782134152803,Thursday,5,18,Low
Instagram,2025-05-11,Story,20264,2773,300,119,13702,145,0.1575207264113699,0.34746348203711014,0.6761744966442953,0.007155546782471378,Sunday,5,19,High
Instagram,2025-06-16,Post,16941,1808,195,37,16648,321,0.12041792102001063,0.25889853019302284,0.9827046809515377,0.018948114042854614,Monday,6,25,Medium
